Puzzle ID,Puzzle,Time Taken(s),Nodes Explored,Steps to Solution,Nodes per Second
1,3-6-1-7-8-0-4-5-2,0.002,17,15,8.5
2,0-6-1-5-8-4-7-2-3,0.001,49,20,49
3,3-2-5-1-0-4-6-8-7,0.003,244,16,81.33333333333333
4,6-3-2-7-4-8-1-0-5,0.008,540,21,67.5
5,0-3-1-7-4-2-8-6-5,0.001,45,14,45
6,4-3-5-7-2-8-6-1-0,0.007,491,20,70.14285714285714
7,6-7-3-0-5-8-4-1-2,0.015,759,25,50.6
8,0-8-1-3-7-5-2-4-6,0.002,217,22,108.5
9,6-0-8-1-5-4-7-2-3,0.001,112,21,112
10,6-3-5-1-7-0-4-8-2,0.005,366,21,73.2
11,0-3-8-6-5-1-2-7-4,0.005,217,20,43.4
12,6-7-3-0-5-2-8-1-4,0.004,385,23,96.25
13,7-4-3-5-2-1-0-6-8,0,100,18,10000
14,1-4-6-8-0-2-7-5-3,0.002,260,20,130
15,4-3-7-1-8-6-0-2-5,0.009,1031,26,114.55555555555556
16,4-8-3-2-7-1-6-0-5,0.004,551,21,137.75
17,6-4-1-8-5-7-0-2-3,0.019,2009,26,105.73684210526316
18,0-7-1-8-6-2-3-5-4,0.009,984,24,109.33333333333333
19,7-5-4-3-2-1-0-6-8,0.001,220,18,220
20,8-3-6-0-7-2-1-4-5,0.015,1997,25,133.13333333333333
21,0-1-8-2-6-4-3-5-7,0.008,945,22,118.125
22,7-2-1-5-8-0-3-4-6,0.003,337,21,112.33333333333333
23,7-0-1-2-8-3-4-5-6,0.005,753,23,150.6
24,4-3-5-8-2-1-6-7-0,0.001,134,18,134
25,0-1-4-2-7-8-6-3-5,0.009,1371,22,152.33333333333334
26,0-8-1-2-7-3-6-5-4,0.017,2171,26,127.70588235294117
27,7-2-6-8-5-1-3-4-0,0.028,3533,28,126.17857142857143
28,0-1-8-6-2-3-4-5-7,0.001,209,20,209
29,7-6-8-5-4-3-2-1-0,0.008,1106,28,138.25
30,2-7-5-6-0-1-4-8-3,0.004,539,22,134.75
31,6-5-2-7-3-1-0-4-8,0.006,752,22,125.33333333333333
